raza,estado,municipio,localidad,altitud,precipitacion,temperatura,color_grano,hileras_mazorca,longitud_promedio,cat_altitud,cat_temperatura,cat_precipitacion
maíz raza olotillo,veracruz de ignacio de la llave,teocelo,baxtla,1162.0,1732,20,['blanco cremoso'],10.6,19.76,bajas,templada,muy abundantes
maíz raza olotillo,campeche,hopelchen,xmejia,158.0,1066,25,['blanco'],11,14.65,bajas,caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"chuniapan de arriba, carretera salto de eyipantla-chuniapan de arriba",154.0,1632,24,['amarillo claro'],11.8,17.6,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"ohuilapan, carretera san andrés tuxtla-tilapan",112.0,1607,25,['blanco cremoso'],11.4,20.73,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,san miguel panixtlahuaca,san miguel panixtlahuaca,1045.0,1313,23,['blanco'],9,17.6,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,san andres tuxtla,"ohuilapan, carretera san andrés tuxtla-tilapan",112.0,1607,25,['blanco cremoso'],10.4,21.2,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,axtla de terrazas,xoloco,155.0,1567,24,['amarillo'],9.6,16,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,axtla de terrazas,xoloco,155.0,1567,24,['amarillo'],10,17.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,axtla de terrazas,xoloco,155.0,1567,24,"['amarillo', 'amarillo naranja']",9.6,19,bajas,semi-caliente,muy abundantes
maíz raza olotillo,san luis potosi,axtla de terrazas,xoloco,155.0,1567,24,['blanco'],10,20.8,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,san bartolome loxicha,la chinilla,814.0,1028,23,['blanco cremoso'],9.72,17.5,bajas,semi-caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,benito juarez,cerca de palma real,354.0,1529,23,['blanco cremoso'],9.6,16.67,bajas,semi-caliente,muy abundantes
maíz raza olotillo,oaxaca,pinotepa de don luis,pinotepa de don luis,419.0,1397,26,['blanco'],12,15.7,bajas,caliente,muy abundantes
maíz raza olotillo,oaxaca,pinotepa de don luis,pinotepa de don luis,419.0,1397,26,['blanco'],9,16,bajas,caliente,muy abundantes
maíz raza olotillo,oaxaca,pinotepa de don luis,pinotepa de don luis,419.0,1397,26,['blanco'],8,17.3,bajas,caliente,muy abundantes
maíz raza olotillo,oaxaca,pinotepa de don luis,pinotepa de don luis,419.0,1397,26,['blanco'],11,16.4,bajas,caliente,muy abundantes
maíz raza olotillo,oaxaca,pinotepa de don luis,pinotepa de don luis,419.0,1397,26,['blanco'],9,16.8,bajas,caliente,muy abundantes
maíz raza olotillo,oaxaca,pinotepa de don luis,pinotepa de don luis,419.0,1397,26,['blanco'],11,18,bajas,caliente,muy abundantes
maíz raza olotillo,oaxaca,pinotepa de don luis,pinotepa de don luis,419.0,1397,26,['blanco'],9,14.7,bajas,caliente,muy abundantes
maíz raza olotillo,tabasco,tacotalpa,"colonia mexiquito, subregión de la sierra",57.0,2404,26,['blanco cremoso'],13.4,18.15,bajas,caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,tatahuicapan de juarez,"tatahuicapan, cabecera municipal",111.0,1767,25,['blanco cremoso'],12.4,19.15,bajas,caliente,muy abundantes
maíz raza olotillo,oaxaca,candelaria loxicha,los horcones,190.0,1049,25,"['blanco', 'amarillo claro']",10,13.63,bajas,caliente,abundantes
maíz raza olotillo,veracruz de ignacio de la llave,hueyapan de ocampo,santa rosa cintepec,486.0,1705,23,['blanco cremoso'],10.4,15.79,bajas,semi-caliente,muy abundantes
maíz raza olotillo,veracruz de ignacio de la llave,hueyapan de ocampo,santa rosa cintepec,486.0,1705,23,['blanco cremoso'],10,14.65,bajas,semi-caliente,muy abundantes
