race,state,municipality,locality,altitude,precipitation,temperature,grain_color ,rows_ear,average_length,altitude_cat,temperature_cat,precipitation_cat
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,['white'],11,13.1,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,['white'],12,15.5,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,"['white', 'light yellow']",12,15.6,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,['white'],9,12.6,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,['white'],8,15.9,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,['white'],9,15.6,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,['white'],11,14.3,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,['light yellow'],11,18.1,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,"['white', 'light yellow']",11,18.5,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Jeronimo Coatlan,San Cristóbal Honduras,1109,977,22,"['white', 'black']",9,14.5,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Felipe Usila,Arroyo Iguana,112,2057,24,['white'],,,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Benito Juarez,Coachumo Común,319,1413,23,"['yellow', 'red-orange']",10,14,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Benito Juarez,Coachumo Común,319,1413,23,"['yellow', 'mottled', 'blue']",10,17,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,Santa Catarina Loxicha,Jardín del Sur,669,970,24,['creamy white'],9.5,18.76,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,Santa Catarina Loxicha,Jardín del Sur,669,970,24,,9.96,16.472,low,semi-warm,abundant
maíz raza olotillo,Tabasco,Huimanguillo,"Ejido Monte de Oro, Primera Sección, Subregión de la Chontalpa",26,2140,26,['creamy white'],12.2,15.84,low,hot,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Tuxpan,San José el Grande,68,1295,24,['creamy white'],12,18.69,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Baltazar Loxicha,Villa Tierra,880,930,23,['white'],10.5555555555556,20.7944444444444,low,semi-warm,abundant
maíz raza olotillo,Chiapas,Teopisca,San Antonio y San José,1711,1279,16,['light yellow'],12,21.6,medium altitude,cold,abundant
maíz raza olotillo,Chiapas,Suchiapa,Cerca de Pacú,453,991,26,"['light yellow', 'medium yellow', 'orange-yellow']",8,18.59,low,hot,abundant
maíz raza olotillo,Hidalgo,Huejutla de Reyes,Ejido Calmecate,117,1352,24,['yellow'],9.2,14.8,low,semi-warm,abundant
maíz raza olotillo,Hidalgo,Huejutla de Reyes,Ejido Calmecate,117,1352,24,"['yellow', 'orange-yellow']",10,16.6,low,semi-warm,abundant
maíz raza olotillo,Hidalgo,Atotonilco el Grande,Cerro Colorado,1986,611,15,['creamy white'],9,13.24,high,cold,low
maíz raza olotillo,Oaxaca,Candelaria Loxicha,El Chilar,236,1087,25,"['white', 'red']",10,16.9421052631579,low,hot,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Benito Juarez,Beníto Juárez,265,1326,23,['creamy white'],9.4,14.6,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,San Bartolome Loxicha,La Chinilla,700,1022,24,['white'],9.65,16.445,low,semi-warm,abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,El Chilar,340,1097,25,['creamy white'],10.5,17.015,low,hot,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Teocelo,Baxtla,1162,1732,20,['creamy white'],10.6,19.76,low,temperate,very abundant
maíz raza olotillo,Campeche,Hopelchen,Xmejia,158,1066,25,['white'],11,14.65,low,hot,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,San Andres Tuxtla,"Chuniapan de Arriba, Carretera Salto de Eyipantla-Chuniapan de Arriba",154,1632,24,['light yellow'],11.8,17.6,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,San Andres Tuxtla,"Ohuilapan, Carretera San Andrés Tuxtla-Tilapan",112,1607,25,['creamy white'],11.4,20.73,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,San Miguel Panixtlahuaca,San Miguel Panixtlahuaca,1045,1313,23,['white'],9,17.6,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,San Andres Tuxtla,"Ohuilapan, Carretera San Andrés Tuxtla-Tilapan",112,1607,25,['creamy white'],10.4,21.2,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Axtla de Terrazas,Xoloco,155,1567,24,['yellow'],9.6,16,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Axtla de Terrazas,Xoloco,155,1567,24,['yellow'],10,17.8,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Axtla de Terrazas,Xoloco,155,1567,24,"['yellow', 'orange-yellow']",9.6,19,low,semi-warm,very abundant
maíz raza olotillo,San Luis Potosi,Axtla de Terrazas,Xoloco,155,1567,24,['white'],10,20.8,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,San Bartolome Loxicha,La Chinilla,814,1028,23,['creamy white'],9.72,17.5,low,semi-warm,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Benito Juarez,Cerca de Palma Real,354,1529,23,['creamy white'],9.6,16.67,low,semi-warm,very abundant
maíz raza olotillo,Oaxaca,Pinotepa de Don Luis,Pinotepa de Don Luis,419,1397,26,['white'],12,15.7,low,hot,very abundant
maíz raza olotillo,Oaxaca,Pinotepa de Don Luis,Pinotepa de Don Luis,419,1397,26,['white'],9,16,low,hot,very abundant
maíz raza olotillo,Oaxaca,Pinotepa de Don Luis,Pinotepa de Don Luis,419,1397,26,['white'],8,17.3,low,hot,very abundant
maíz raza olotillo,Oaxaca,Pinotepa de Don Luis,Pinotepa de Don Luis,419,1397,26,['white'],11,16.4,low,hot,very abundant
maíz raza olotillo,Oaxaca,Pinotepa de Don Luis,Pinotepa de Don Luis,419,1397,26,['white'],9,16.8,low,hot,very abundant
maíz raza olotillo,Oaxaca,Pinotepa de Don Luis,Pinotepa de Don Luis,419,1397,26,['white'],11,18,low,hot,very abundant
maíz raza olotillo,Oaxaca,Pinotepa de Don Luis,Pinotepa de Don Luis,419,1397,26,['white'],9,14.7,low,hot,very abundant
maíz raza olotillo,Tabasco,Tacotalpa,"Colonia Mexiquito, Subregión de la Sierra",57,2404,26,['creamy white'],13.4,18.15,low,hot,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Tatahuicapan de Juarez,"Tatahuicapan, Cabecera Municipal",111,1767,25,['creamy white'],12.4,19.15,low,hot,very abundant
maíz raza olotillo,Oaxaca,Candelaria Loxicha,Los Horcones,190,1049,25,"['white', 'light yellow']",10,13.63,low,hot,abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Hueyapan de Ocampo,Santa Rosa Cintepec,486,1705,23,['creamy white'],10.4,15.79,low,semi-warm,very abundant
maíz raza olotillo,Veracruz de Ignacio de la Llave,Hueyapan de Ocampo,Santa Rosa Cintepec,486,1705,23,['creamy white'],10,14.65,low,semi-warm,very abundant
maíz raza olotillo,Hidalgo,Huazalingo,Copaltitla,443,1490,23,"['yellow', 'orange-yellow', 'blue', 'yellow', 'orange-yellow', 'blue']",9.6,16.4,low,semi-warm,very abundant
maíz raza olotillo,Chiapas,Venustiano Carranza,Colonia Flores Magón,480,1110,25,['white'],8,18,low,hot,abundant
maíz raza olotillo,Chiapas,Venustiano Carranza,Colonia Flores Magón,480,1110,25,"['red', 'dark blue']",11,17.5,low,hot,abundant
maíz raza olotillo,Chiapas,Venustiano Carranza,Colonia Flores Magón,480,1110,25,['light yellow'],,,low,hot,abundant
